7 -0.210  000000|26-2 0.000  0 000 .0  .6  DCTim=0TotalTime=2823619-0.193  0.000  0. 0| 19260 . 000 0|CaTe282581
 -0.542 -0.537  0.000  0.000  0.000  0.000 |  -4.931 -6.084  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282425
 -0.458 -0.520  0.000  0.000  0.000  0.000 |  -4.994 -6.431  0.000  0.000  0.000  0.000 | 0.80 | ADCTime=36000 TotalTime=282640
 -0.507 -0.528  0.000  0.000  0.000  0.000 |  -5.018 -6.181  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282424
 -0.459 -0.585  0.000  0.000  0.000  0.000 |  -5.157 -5.979  0.000  0.000  0.000  0.000 | 0.80 | ADCTime=36000 TotalTime=282418
 -0.492 -0.570  0.000  0.000  0.000  0.000 |  -4.871 -6.061  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282693
 -0.462 -0.566  0.000  0.000  0.000  0.000 |  -5.311 -6.249  0.000  0.000  0.000  0.000 | 0.70 | ADCTime=36000 TotalTime=282427
 -0.476 -0.543  0.000  0.000  0.000  0.000 |  -5.071 -6.741  0.000  0.000  0.000  0.000 | 0.71 | ADCTime=36000 TotalTime=282403
 -0.491 -0.558  0.000  0.000  0.000  0.000 |  -5.152 -6.774  0.000  0.000  0.000  0.000 | 0.70 | ADCTime=36000 TotalTime=282698
 -0.487 -0.482  0.000  0.000  0.000  0.000 |  -4.945 -6.712  0.000  0.000  0.000  0.000 | 0.70 | ADCTime=36000 TotalTime=282405
 -0.480 -0.525  0.000  0.000  0.000  0.000 |  -4.683 -6.755  0.000  0.000  0.000  0.000 | 0.69 | ADCTime=36000 TotalTime=282426
 -0.449 -0.583  0.000  0.000  0.000  0.000 |  -4.856 -7.046  0.000  0.000  0.000  0.000 | 0.70 | ADCTime=36000 TotalTime=282635
 -0.493 -0.543  0.000  0.000  0.000  0.000 |  -4.988 -6.251  0.000  0.000  0.000  0.000 | 0.70 | ADCTime=36000 TotalTime=282425
 -0.431 -0.543  0.000  0.000  0.000  0.000 |  -4.893 -5.931  0.000  0.000  0.000  0.000 | 0.70 | ADCTime=36000 TotalTime=282389
 -0.451 -0.564  0.000  0.000  0.000  0.000 |  -5.054 -6.202  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282693
 -0.451 -0.509  0.000  0.000  0.000  0.000 |  -4.611 -6.555  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282429
 -0.452 -0.529  0.000  0.000  0.000  0.000 |  -5.106 -6.890  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282412
 -0.477 -0.535  0.000  0.000  0.000  0.000 |  -5.066 -6.565  0.000  0.000  0.000  0.000 | 0.61 | ADCTime=36000 TotalTime=282601
 -0.486 -0.522  0.000  0.000  0.000  0.000 |  -5.218 -6.407  0.000  0.000  0.000  0.000 | 0.61 | ADCTime=36000 TotalTime=282426
 -0.469 -0.502  0.000  0.000  0.000  0.000 |  -5.007 -6.952  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282415
 -0.520 -0.541  0.000  0.000  0.000  0.000 |  -5.555 -6.661  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282626
 -0.503 -0.573  0.000  0.000  0.000  0.000 |  -5.282 -6.290  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282430
 -0.460 -0.539  0.000  0.000  0.000  0.000 |  -5.406 -6.499  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282440
 -0.492 -0.501  0.000  0.000  0.000  0.000 |  -5.079 -6.902  0.000  0.000  0.000  0.000 | 0.61 | ADCTime=36000 TotalTime=282560
 -0.462 -0.564  0.000  0.000  0.000  0.000 |  -5.197 -6.604  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282425
 -0.452 -0.534  0.000  0.000  0.000  0.000 |  -5.284 -6.958  0.000  0.000  0.000  0.000 | 0.61 | ADCTime=36000 TotalTime=282438
 -0.499 -0.555  0.000  0.000  0.000  0.000 |  -4.793 -6.773  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282610
 -0.437 -0.480  0.000  0.000  0.000  0.000 |  -4.875 -6.069  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282423
 -0.531 -0.525  0.000  0.000  0.000  0.000 |  -4.722 -6.576  0.000  0.000  0.000  0.000 | 0.61 | ADCTime=36000 TotalTime=282426
 -0.467 -0.544  0.000  0.000  0.000  0.000 |  -5.126 -6.397  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282625
 -0.514 -0.557  0.000  0.000  0.000  0.000 |  -4.938 -6.509  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282420
 -0.494 -0.539  0.000  0.000  0.000  0.000 |  -4.898 -6.026  0.000  0.000  0.000  0.000 | 0.61 | ADCTime=36000 TotalTime=282437
 -0.534 -0.515  0.000  0.000  0.000  0.000 |  -4.272 -6.638  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282680
 -0.490 -0.614  0.000  0.000  0.000  0.000 |  -4.973 -6.569  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282419
 -0.461 -0.519  0.000  0.000  0.000  0.000 |  -5.265 -7.364  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36000 TotalTime=282431
Resetting trip
  0.744  0.721  0.000  0.000  0.000  0.000 |  -1.831 -2.959  0.000  0.000  0.000  0.000 | 0.62 | ADCTime=36001 TotalTime=282779
 -0.193 -0.251  0.000  0.000  0.000  0.000 |  -1.808 -3.111  0.000  0.000  0.000  0.000 | 0.63 | ADCTime=36000 TotalTime=282457
Total trips: 1 -0.132 18.089  0.000  0.000  0.000  0.000 |  -0.904 57.633  0.000  0.000  0.000  0.000 | 0.64 | ADCTime=36000 TotalTime=282431
 -0.176 34.437  0.000  0.000  0.000  0.000 |  -1.482 237.287  0.000  0.000  0.000  0.000 | 0.66 | ADCTime=36000 TotalTime=282653
 -0.205 51.144  0.000  0.000  0.000  0.000 |  -1.424 418.806  0.000  0.000  0.000  0.000 | 0.67 | ADCTime=36000 TotalTime=282426
 -0.205 67.763  0.000  0.000  0.000  0.000 |  -1.421 599.848  0.000  0.000  0.000  0.000 | 0.70 | ADCTime=36000 TotalTime=282438
 -0.188 83.799  0.000  0.000  0.000  0.000 |  -1.381 781.048  0.000  0.000  0.000  0.000 | 0.72 | ADCTime=36000 TotalTime=282622
 -0.225 100.291  0.000  0.000  0.000  0.000 |  -1.527 960.269  0.000  0.000  0.000  0.000 | 0.74 | ADCTime=36000 TotalTime=282426
 -0.211 116.731  0.000  0.000  0.000  0.000 |  -1.301 1139.559  0.000  0.000  0.000  0.000 | 0.74 | ADCTime=36000 TotalTime=282437
 -0.227 132.585  0.000  0.000  0.000  0.000 |  -1.614 1317.912  0.000  0.000  0.000  0.000 | 0.76 | ADCTime=36000 TotalTime=282615
  0.172 144.709  0.000  0.000  0.000  0.000 |  -1.497 1493.591  0.000  0.000  0.000  0.000 | 0.79 | ADCTime=36000 TotalTime=282439
